rank,naslov,ocena,deli
755,Sumire♡16-sai!!,7.99,5
756,Giant Killing,7.99,Ni končana
757,Seitokai Yakuindomo,7.99,22
758,Viral Hit,7.99,Ni končana
759,Positively Yours,7.99,8
760,Maybe Meant to Be,7.99,Ni končana
761,Doupo Cangqiong,7.99,Ni končana
762,Sono Bisque Doll wa Koi wo Suru,7.99,Ni končana
763,Fools,7.99,4
764,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",7.99,Ni končana
765,Mahou Shoujo Madoka★Magica,7.99,2
766,Konya mo Nemurenai,7.99,3
767,Chuunibyou demo Koi ga Shitai!,7.99,4
768,Ajin,7.99,17
769,Kanata no Astra,7.99,5
770,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7.99,Ni končana
771,Chi no Wadachi,7.99,17
772,4 Cut Hero,7.98,Ni končana
773,Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,7.98,2
774,Shinigami wo Tabeta Shoujo,7.98,2
775,Overlord,7.98,19
776,Ranma ½,7.98,38
777,Kekkaishi,7.98,35
778,Life,7.98,20
779,"""Bungaku Shoujo"" Series",7.98,8
780,Mudazumonaki Kaikaku,7.98,16
781,Secret Lady,7.98,Ni končana
782,The Perks of Being a Villainess,7.98,Ni končana
783,Bocchi the Rock! Gaiden: Hiroi Kikuri no Fukazake Nikki,7.98,Ni končana
784,Hori-san to Miyamura-kun,7.98,10
785,Buttobi Itto,7.98,26
786,Lookism,7.98,Ni končana
787,Hypnosis Mic: Before the Battle - The Dirty Dawg,7.98,4
788,Wind Breaker,7.98,Ni končana
789,Odd Girl Out,7.97,Ni končana
790,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizokuin Gaiden,7.97,1
791,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.97,Ni končana
792,Tokyo Babylon,7.97,7
793,School Rumble,7.97,22
794,Mekakushi no Kuni,7.97,9
795,Bokura ga Ita,7.97,16
796,Kaijuu no Kodomo,7.97,5
797,Strobe Edge,7.97,10
798,Code Geass: Hangyaku no Lelouch,7.97,5
799,D-Frag!,7.97,Ni končana
800,"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",7.97,18
